name,brand,category,price,calories_per_100g,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg,ingredients,allergens,organic,gluten_free,description
Organic Quinoa Bowl,NutriMax,Grain Bowls,12.99,220,8.5,3.2,45.8,5.1,2.1,320,"quinoa, vegetables, olive oil, sea salt","none",true,true,"High-protein organic quinoa bowl with mixed vegetables"
Keto Avocado Salad,KetoLife,Salads,14.50,180,4.2,16.8,7.3,6.5,1.2,450,"avocado, spinach, olive oil, lemon","none",false,true,"Low-carb high-fat salad perfect for keto diet"
Greek Yogurt Parfait,DairyFresh,Dairy,8.99,120,10.2,2.8,18.5,2.1,15.2,85,"greek yogurt, berries, honey, granola","milk",false,false,"Protein-rich Greek yogurt with fresh berries"
Almond Protein Bar,PowerSnack,Protein Bars,3.49,450,20.1,18.5,35.2,8.5,12.1,180,"almonds, whey protein, dates, cocoa","nuts, milk",false,true,"High-protein bar with natural almonds"
Spinach Smoothie,GreenLife,Smoothies,7.99,95,3.8,0.8,20.5,4.2,16.8,95,"spinach, banana, apple juice, lime","none",true,true,"Nutrient-packed green smoothie with spinach"
Brown Rice Sushi,SushiMax,Asian,16.99,180,6.2,2.1,35.8,2.8,4.5,680,"brown rice, nori, vegetables, sesame","sesame",false,true,"Healthy brown rice vegetarian sushi rolls"
Chia Seed Pudding,SuperSeeds,Puddings,9.49,190,5.8,12.2,18.5,11.2,8.9,125,"chia seeds, coconut milk, vanilla, maple syrup","none",true,true,"Omega-3 rich chia pudding with coconut"
Turkey Sandwich,DeliMax,Sandwiches,11.99,285,18.5,8.2,32.1,3.5,4.2,890,"turkey, whole wheat bread, lettuce, tomato","gluten",false,false,"Lean turkey sandwich on whole wheat bread"
Lentil Curry,SpiceMaster,Indian,13.49,165,9.8,3.5,28.2,7.8,3.1,560,"lentils, coconut milk, spices, tomatoes","none",true,true,"Protein-rich red lentil curry with aromatic spices"
Açaí Bowl,TropicalBowl,Bowls,12.49,85,1.8,5.2,12.5,7.2,8.9,15,"açaí, banana, granola, coconut flakes","nuts",true,true,"Antioxidant-rich açaí bowl with fresh toppings"
Salmon Fillet,OceanFresh,Seafood,24.99,206,25.8,12.4,0,0,0,285,"atlantic salmon, sea salt, herbs","fish",false,true,"Wild-caught Atlantic salmon with herbs"
Black Bean Burger,VeggiePro,Plant-Based,10.99,245,15.2,8.5,32.1,12.5,2.8,480,"black beans, quinoa, vegetables, spices","none",true,true,"High-protein plant-based burger patty"
Matcha Latte,ZenCafe,Beverages,5.99,68,2.1,3.8,8.5,1.2,6.8,45,"matcha powder, oat milk, honey","none",true,true,"Ceremonial grade matcha latte with oat milk"
Sweet Potato Fries,CrispyVeggies,Sides,6.49,160,2.8,5.2,28.5,4.2,8.5,320,"sweet potato, olive oil, sea salt, herbs","none",true,true,"Baked sweet potato fries with herbs"
Coconut Curry Soup,AsianFusion,Soups,10.99,145,4.2,8.8,15.2,3.5,6.8,780,"coconut milk, vegetables, curry spices, herbs","none",true,true,"Creamy coconut curry soup with mixed vegetables"
Protein Smoothie Bowl,FitnessFuel,Bowls,13.99,280,25.8,8.2,28.5,6.8,18.2,125,"whey protein, banana, berries, almond butter","nuts, milk",false,true,"High-protein smoothie bowl for post-workout"
Quinoa Salad,GrainGoodness,Salads,11.49,195,7.8,6.2,32.1,5.8,4.2,380,"quinoa, mixed greens, olive oil, lemon","none",true,true,"Nutritious quinoa salad with fresh vegetables"
Chicken Wrap,WrapItUp,Wraps,9.99,320,22.1,12.5,28.8,4.2,3.5,690,"chicken breast, tortilla, vegetables, sauce","gluten",false,false,"Grilled chicken wrap with fresh vegetables"
Oatmeal Bowl,MorningStart,Breakfast,7.49,150,5.2,3.8,28.5,4.8,8.9,180,"steel cut oats, berries, nuts, honey","nuts",false,true,"Hearty oatmeal bowl with fresh berries"
Hummus Plate,MediterraneanBite,Mediterranean,8.99,180,8.5,12.8,15.2,6.2,2.1,420,"chickpeas, tahini, olive oil, garlic","sesame",true,true,"Traditional hummus with olive oil drizzle"
Tofu Stir Fry,AsianGarden,Asian,12.49,165,12.8,8.5,18.2,3.8,6.5,680,"tofu, mixed vegetables, soy sauce, ginger","soy",false,true,"Protein-rich tofu stir fry with fresh vegetables"
Green Tea,TeaMaster,Beverages,3.99,2,0.2,0,0.5,0,0,5,"green tea leaves, natural flavoring","none",true,true,"Premium organic green tea with antioxidants"
Veggie Pizza,PizzaCraft,Pizza,15.99,245,12.5,8.8,32.1,4.2,5.8,580,"whole wheat crust, vegetables, mozzarella","gluten, milk",false,false,"Artisan veggie pizza on whole wheat crust"
Nut Butter Toast,BreadBasket,Breakfast,6.99,285,12.8,18.5,22.1,5.8,4.2,320,"whole grain bread, almond butter, banana","nuts, gluten",false,false,"Whole grain toast with natural nut butter"
Kale Chips,CrunchyGreens,Snacks,4.99,520,22.8,35.2,44.2,15.8,8.5,680,"kale, olive oil, nutritional yeast, spices","none",true,true,"Crispy baked kale chips with nutritional yeast"
Fish Tacos,CoastalKitchen,Mexican,13.99,220,18.5,8.2,22.1,4.8,3.2,560,"white fish, corn tortillas, cabbage, lime","fish",false,true,"Fresh fish tacos with cabbage slaw"
Miso Soup,JapanFresh,Soups,5.49,45,3.2,1.8,6.5,1.2,2.8,890,"miso paste, tofu, seaweed, scallions","soy",false,true,"Traditional miso soup with tofu and seaweed"
Energy Balls,PowerBite,Snacks,7.99,420,8.5,25.2,38.5,8.8,28.2,85,"dates, nuts, coconut, protein powder","nuts, milk",false,true,"Raw energy balls with dates and nuts"
Cauliflower Rice,LowCarbLife,Sides,5.99,25,2.8,0.8,5.2,2.8,2.1,180,"cauliflower, herbs, olive oil, garlic","none",true,true,"Low-carb cauliflower rice with herbs"
Beef Jerky,ProteinPro,Snacks,8.49,410,33.2,25.8,6.5,1.2,4.2,1680,"grass-fed beef, sea salt, spices","none",false,true,"High-protein grass-fed beef jerky"
Kombucha,FermentedLife,Beverages,4.99,28,0.5,0,6.8,0,6.5,15,"green tea, cane sugar, probiotics, ginger","none",true,true,"Probiotic-rich kombucha with ginger"
Zucchini Noodles,SpiralVeggies,Pasta,8.99,20,2.1,0.8,4.2,1.8,2.5,15,"spiralized zucchini, olive oil, herbs","none",true,true,"Fresh zucchini noodles with herb oil"
Protein Pancakes,FitnessMorning,Breakfast,9.99,280,18.5,8.2,32.1,4.8,12.5,380,"protein powder, oats, banana, eggs","eggs, milk",false,true,"High-protein pancakes with banana"
Seaweed Salad,OceanGreens,Salads,7.49,45,1.8,0.2,9.5,5.2,4.8,1280,"wakame seaweed, sesame oil, rice vinegar","sesame",true,true,"Mineral-rich seaweed salad with sesame"
Turkey Meatballs,LeanMeats,Protein,11.99,195,22.1,8.5,8.2,2.1,3.2,680,"ground turkey, herbs, breadcrumbs, spices","gluten",false,false,"Lean turkey meatballs with Italian herbs"
Coconut Water,TropicalPure,Beverages,3.49,19,0.7,0.2,3.7,1.1,2.6,600,"coconut water, natural flavoring","none",true,true,"Pure coconut water with natural electrolytes"
Stuffed Bell Peppers,VeggieFilled,Entrees,12.99,165,8.5,6.2,22.1,5.8,8.9,420,"bell peppers, quinoa, vegetables, cheese","milk",false,true,"Colorful bell peppers stuffed with quinoa"
Bone Broth,NourishingBones,Soups,6.99,45,9.8,1.2,2.1,0,0,890,"beef bones, vegetables, herbs, apple cider vinegar","none",false,true,"Nutrient-dense bone broth with collagen"
Chia Seed Crackers,CrunchySeeds,Snacks,5.99,485,18.5,35.2,38.8,32.5,2.1,680,"chia seeds, flax seeds, almond flour, herbs","nuts",true,true,"High-fiber crackers made with chia seeds"
Mushroom Risotto,ItalianComfort,Italian,16.49,180,5.8,6.2,28.5,2.8,4.2,580,"arborio rice, mushrooms, parmesan, herbs","milk",false,false,"Creamy mushroom risotto with parmesan"
Protein Water,HydratePro,Beverages,4.99,80,20.1,0,0,0,0,180,"whey protein isolate, natural flavoring","milk",false,true,"Clear protein water with 20g protein"
Beet Salad,EarthyRoots,Salads,10.49,85,2.8,4.2,15.2,3.8,12.5,320,"roasted beets, goat cheese, walnuts, greens","nuts, milk",true,true,"Roasted beet salad with goat cheese"
Turkey Chili,ComfortBowls,Soups,11.99,145,15.2,4.2,18.5,6.8,8.9,780,"ground turkey, beans, tomatoes, spices","none",false,true,"Hearty turkey chili with kidney beans"
Matcha Ice Cream,ZenDesserts,Desserts,7.99,220,4.2,12.5,24.8,2.1,22.1,85,"coconut milk, matcha powder, cane sugar","none",true,true,"Creamy matcha ice cream made with coconut"
Cauliflower Pizza,LowCarbPizza,Pizza,13.99,185,12.8,8.2,18.5,6.2,4.8,480,"cauliflower crust, vegetables, mozzarella","milk",false,true,"Low-carb pizza with cauliflower crust"
Spirulina Smoothie,SuperfoodBlend,Smoothies,8.99,95,8.5,2.1,15.2,4.2,10.8,125,"spirulina, pineapple, coconut water, lime","none",true,true,"Nutrient-dense spirulina smoothie with pineapple"
Grass-Fed Steak,PremiumMeats,Protein,32.99,250,26.8,16.2,0,0,0,380,"grass-fed beef, sea salt, black pepper","none",false,true,"Premium grass-fed ribeye steak"
Almond Milk,NuttyDrinks,Beverages,3.99,17,0.6,1.4,0.6,0.4,0,170,"almonds, water, vanilla, sea salt","nuts",true,true,"Unsweetened almond milk with vanilla"
