name,brand,category,price,calories_per_100g,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg,ingredients,allergens,organic,gluten_free,description
"Fresh Avocado Smoothies","KetoLife","Smoothies",21.92,373,3.7,16.4,21.1,9.6,1.2,636,"natural ingredients","none",false,true,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",20.54,263,20.7,18.0,39.9,14.5,3.8,466,"natural ingredients","none",true,true,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",7.31,307,23.2,1.5,25.1,8.1,15.5,778,"natural ingredients","none",true,true,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",20.78,345,17.3,9.6,20.6,6.8,4.9,589,"natural ingredients","none",false,false,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",10.49,413,7.0,16.8,37.5,7.5,24.2,620,"natural ingredients","none",false,false,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",27.50,385,20.5,2.2,24.4,3.3,20.5,989,"natural ingredients","none",false,true,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",6.05,277,7.9,6.3,43.9,4.3,12.0,945,"natural ingredients","none",true,false,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",11.95,267,8.0,12.9,20.1,6.9,19.1,1010,"natural ingredients","none",false,true,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",22.56,96,21.8,1.2,25.9,7.8,8.3,744,"natural ingredients","none",true,true,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",25.87,228,22.0,1.7,13.0,6.0,6.9,141,"natural ingredients","none",false,true,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",12.12,302,6.9,18.1,39.5,5.5,23.7,947,"natural ingredients","none",false,false,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",8.71,441,20.7,3.2,9.4,15.7,13.7,572,"natural ingredients","none",false,false,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",33.44,202,6.8,3.7,35.0,9.0,5.8,292,"natural ingredients","none",false,true,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",7.39,434,14.7,20.9,29.3,4.0,23.1,726,"natural ingredients","none",false,true,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",32.20,345,8.4,5.9,48.6,14.6,20.8,701,"natural ingredients","none",false,true,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",17.52,446,21.1,20.0,41.0,12.9,7.8,318,"natural ingredients","none",true,false,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",20.44,79,5.5,11.9,6.8,6.9,12.1,243,"natural ingredients","none",true,false,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",33.68,176,23.0,5.4,47.7,14.8,16.9,788,"natural ingredients","none",true,true,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",16.05,377,23.7,15.3,28.7,14.9,12.5,769,"natural ingredients","none",false,false,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",21.87,196,3.1,5.0,5.2,15.6,24.0,528,"natural ingredients","none",true,true,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",28.07,400,3.4,18.6,10.4,11.6,13.3,309,"natural ingredients","none",true,false,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",6.14,291,23.9,20.8,49.1,13.3,9.9,320,"natural ingredients","none",true,false,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",10.11,65,11.4,18.6,14.7,4.8,14.3,202,"natural ingredients","none",false,true,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",19.20,70,19.2,2.8,38.7,3.3,21.0,666,"natural ingredients","none",false,true,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",22.47,236,16.6,9.0,34.5,12.6,12.6,732,"natural ingredients","none",true,true,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",12.48,225,10.3,9.2,46.0,15.8,15.3,882,"natural ingredients","none",false,false,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",30.11,301,3.2,4.6,37.9,6.1,24.6,306,"natural ingredients","none",true,false,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",17.61,361,14.7,14.6,32.0,15.2,21.1,202,"natural ingredients","none",false,false,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",24.19,113,3.0,7.2,45.2,7.7,4.6,958,"natural ingredients","none",true,false,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",18.93,368,16.6,19.9,32.2,9.1,19.9,761,"natural ingredients","none",true,false,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",31.10,390,21.2,19.9,49.9,5.9,1.3,728,"natural ingredients","none",false,true,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",17.78,207,2.1,13.2,14.7,11.4,5.0,714,"natural ingredients","none",true,false,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",27.52,294,21.8,4.6,50.8,2.2,17.5,570,"natural ingredients","none",false,true,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",9.97,50,23.0,4.9,32.2,6.2,7.1,451,"natural ingredients","none",false,false,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",6.56,217,3.6,7.8,48.8,11.6,25.2,662,"natural ingredients","none",true,true,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",8.97,160,18.6,1.0,9.3,10.2,9.7,170,"natural ingredients","none",false,true,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",31.10,83,20.4,6.1,26.7,9.2,19.2,498,"natural ingredients","none",true,true,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",25.56,52,17.4,8.3,37.9,11.5,9.5,198,"natural ingredients","none",false,true,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",21.65,111,5.1,15.0,27.6,1.3,17.3,829,"natural ingredients","none",false,true,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",14.30,213,3.6,13.9,18.2,10.8,9.2,190,"natural ingredients","none",false,false,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",32.41,400,5.6,11.5,22.9,6.9,2.3,938,"natural ingredients","none",false,true,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",32.35,415,5.2,17.5,35.9,1.9,4.7,346,"natural ingredients","none",true,true,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",32.94,214,3.4,10.8,11.4,7.8,10.5,559,"natural ingredients","none",true,false,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",30.48,234,2.7,16.9,21.4,12.1,8.3,873,"natural ingredients","none",false,true,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",27.62,180,12.3,15.7,55.0,12.2,11.8,73,"natural ingredients","none",false,true,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",15.29,230,7.5,20.5,44.4,10.2,12.7,428,"natural ingredients","none",false,false,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",29.36,246,16.3,7.4,54.3,7.7,5.5,710,"natural ingredients","none",false,false,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",27.92,104,19.8,7.5,31.4,8.1,15.8,300,"natural ingredients","none",false,true,"Healthy sweet mushroom breakfast"
